"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-01","Ontario","2021A000235","Manufacturing [31-33]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057723","7.7.1.1","828.8","","","","1"
"2024-08","Ontario","2021A000235","Services-producing sector","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057724","7.8.1.1","6584.7","","","","1"
"2024-09","Ontario","2021A000235","Services-producing sector","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057724","7.8.1.1","6623.3","","","","1"
"2024-10","Ontario","2021A000235","Services-producing sector","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057724","7.8.1.1","6606.1","","","","1"
"2024-11","Ontario","2021A000235","Services-producing sector","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057724","7.8.1.1","6622.1","","","","1"
"2024-12","Ontario","2021A000235","Services-producing sector","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057724","7.8.1.1","6627.2","","","","1"
"2025-01","Ontario","2021A000235","Services-producing sector","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057724","7.8.1.1","6643.7","","","","1"
"2024-08","Ontario","2021A000235","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057725","7.9.1.1","1114.9","","","","1"
"2024-09","Ontario","2021A000235","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057725","7.9.1.1","1124.6","","","","1"
"2024-10","Ontario","2021A000235","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057725","7.9.1.1","1129.6","","","","1"
"2024-11","Ontario","2021A000235","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057725","7.9.1.1","1137.0","","","","1"
"2024-12","Ontario","2021A000235","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057725","7.9.1.1","1124.2","","","","1"
"2025-01","Ontario","2021A000235","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057725","7.9.1.1","1117.0","","","","1"
"2024-08","Ontario","2021A000235","Transportation and warehousing [48-49]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057726","7.10.1.1","424.5","","","","1"
"2024-09","Ontario","2021A000235","Transportation and warehousing [48-49]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057726","7.10.1.1","423.8","","","","1"
"2024-10","Ontario","2021A000235","Transportation and warehousing [48-49]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057726","7.10.1.1","413.5","","","","1"
"2024-11","Ontario","2021A000235","Transportation and warehousing [48-49]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057726","7.10.1.1","408.9","","","","1"
"2024-12","Ontario","2021A000235","Transportation and warehousing [48-49]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057726","7.10.1.1","411.8","","","","1"
"2025-01","Ontario","2021A000235","Transportation and warehousing [48-49]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057726","7.10.1.1","417.5","","","","1"
"2024-08","Ontario","2021A000235","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057727","7.11.1.1","715.7","","","","1"
"2024-09","Ontario","2021A000235","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057727","7.11.1.1","722.8","","","","1"
"2024-10","Ontario","2021A000235","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057727","7.11.1.1","710.8","","","","1"
"2024-11","Ontario","2021A000235","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057727","7.11.1.1","705.7","","","","1"
"2024-12","Ontario","2021A000235","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057727","7.11.1.1","710.2","","","","1"
"2025-01","Ontario","2021A000235","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057727","7.11.1.1","700.3","","","","1"
"2024-08","Ontario","2021A000235","Professional, scientific and technical services [54]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057728","7.12.1.1","901.2","","","","1"
"2024-09","Ontario","2021A000235","Professional, scientific and technical services [54]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057728","7.12.1.1","912.0","","","","1"
"2024-10","Ontario","2021A000235","Professional, scientific and technical services [54]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057728","7.12.1.1","911.6","","","","1"
"2024-11","Ontario","2021A000235","Professional, scientific and technical services [54]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057728","7.12.1.1","917.3","","","","1"
"2024-12","Ontario","2021A000235","Professional, scientific and technical services [54]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057728","7.12.1.1","907.6","","","","1"
"2025-01","Ontario","2021A000235","Professional, scientific and technical services [54]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057728","7.12.1.1","916.1","","","","1"
"2024-08","Ontario","2021A000235","Business, building and other support services [55-56]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057729","7.13.1.1","290.2","","","","1"
"2024-09","Ontario","2021A000235","Business, building and other support services [55-56]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057729","7.13.1.1","288.5","","","","1"
"2024-10","Ontario","2021A000235","Business, building and other support services [55-56]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057729","7.13.1.1","305.2","","","","1"
"2024-11","Ontario","2021A000235","Business, building and other support services [55-56]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057729","7.13.1.1","298.1","","","","1"
"2024-12","Ontario","2021A000235","Business, building and other support services [55-56]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057729","7.13.1.1","303.9","","","","1"
"2025-01","Ontario","2021A000235","Business, building and other support services [55-56]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057729","7.13.1.1","296.8","","","","1"
"2024-08","Ontario","2021A000235","Educational services [61]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057730","7.14.1.1","601.4","","","","1"
"2024-09","Ontario","2021A000235","Educational services [61]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057730","7.14.1.1","608.0","","","","1"
"2024-10","Ontario","2021A000235","Educational services [61]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057730","7.14.1.1","603.1","","","","1"
"2024-11","Ontario","2021A000235","Educational services [61]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057730","7.14.1.1","614.8","","","","1"
"2024-12","Ontario","2021A000235","Educational services [61]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057730","7.14.1.1","622.1","","","","1"
"2025-01","Ontario","2021A000235","Educational services [61]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057730","7.14.1.1","619.1","","","","1"
"2024-08","Ontario","2021A000235","Health care and social assistance [62]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057731","7.15.1.1","1026.1","","","","1"
"2024-09","Ontario","2021A000235","Health care and social assistance [62]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057731","7.15.1.1","1019.7","","","","1"
"2024-10","Ontario","2021A000235","Health care and social assistance [62]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057731","7.15.1.1","1016.4","","","","1"
"2024-11","Ontario","2021A000235","Health care and social assistance [62]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057731","7.15.1.1","1016.6","","","","1"
"2024-12","Ontario","2021A000235","Health care and social assistance [62]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057731","7.15.1.1","1007.1","","","","1"
"2025-01","Ontario","2021A000235","Health care and social assistance [62]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057731","7.15.1.1","1023.2","","","","1"
"2024-08","Ontario","2021A000235","Information, culture and recreation [51, 71]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057732","7.16.1.1","327.2","","","","1"
"2024-09","Ontario","2021A000235","Information, culture and recreation [51, 71]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057732","7.16.1.1","329.9","","","","1"
"2024-10","Ontario","2021A000235","Information, culture and recreation [51, 71]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057732","7.16.1.1","331.0","","","","1"
"2024-11","Ontario","2021A000235","Information, culture and recreation [51, 71]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057732","7.16.1.1","340.6","","","","1"
"2024-12","Ontario","2021A000235","Information, culture and recreation [51, 71]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057732","7.16.1.1","354.0","","","","1"
"2025-01","Ontario","2021A000235","Information, culture and recreation [51, 71]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057732","7.16.1.1","365.2","","","","1"
"2024-08","Ontario","2021A000235","Accommodation and food services [72]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057733","7.17.1.1","424.0","","","","1"
"2024-09","Ontario","2021A000235","Accommodation and food services [72]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057733","7.17.1.1","425.3","","","","1"
"2024-10","Ontario","2021A000235","Accommodation and food services [72]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057733","7.17.1.1","422.9","","","","1"
"2024-11","Ontario","2021A000235","Accommodation and food services [72]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057733","7.17.1.1","423.8","","","","1"
"2024-12","Ontario","2021A000235","Accommodation and food services [72]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057733","7.17.1.1","421.3","","","","1"
"2025-01","Ontario","2021A000235","Accommodation and food services [72]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057733","7.17.1.1","433.8","","","","1"
"2024-08","Ontario","2021A000235","Other services (except public administration) [81]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057734","7.18.1.1","287.6","","","","1"
"2024-09","Ontario","2021A000235","Other services (except public administration) [81]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057734","7.18.1.1","289.9","","","","1"
"2024-10","Ontario","2021A000235","Other services (except public administration) [81]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057734","7.18.1.1","286.7","","","","1"
"2024-11","Ontario","2021A000235","Other services (except public administration) [81]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057734","7.18.1.1","282.6","","","","1"
"2024-12","Ontario","2021A000235","Other services (except public administration) [81]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057734","7.18.1.1","285.4","","","","1"
"2025-01","Ontario","2021A000235","Other services (except public administration) [81]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057734","7.18.1.1","277.4","","","","1"
"2024-08","Ontario","2021A000235","Public administration [91]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057735","7.19.1.1","471.9","","","","1"
"2024-09","Ontario","2021A000235","Public administration [91]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057735","7.19.1.1","478.7","","","","1"
"2024-10","Ontario","2021A000235","Public administration [91]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057735","7.19.1.1","475.4","","","","1"
"2024-11","Ontario","2021A000235","Public administration [91]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057735","7.19.1.1","476.7","","","","1"
"2024-12","Ontario","2021A000235","Public administration [91]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057735","7.19.1.1","479.7","","","","1"
"2025-01","Ontario","2021A000235","Public administration [91]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057735","7.19.1.1","477.2","","","","1"


