"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-01","Ontario","2021A000235","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057720","7.4.1.1","44.6","","","","1"
"2024-08","Ontario","2021A000235","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057929","7.4.1.2","45.8","","","","1"
"2024-09","Ontario","2021A000235","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057929","7.4.1.2","44.0","","","","1"
"2024-10","Ontario","2021A000235","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057929","7.4.1.2","45.6","","","","1"
"2024-11","Ontario","2021A000235","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057929","7.4.1.2","47.8","","","","1"
"2024-12","Ontario","2021A000235","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057929","7.4.1.2","44.4","","","","1"
"2025-01","Ontario","2021A000235","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057929","7.4.1.2","43.0","","","","1"
"2024-08","Ontario","2021A000235","Utilities [22]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057721","7.5.1.1","59.7","","","","1"
"2024-09","Ontario","2021A000235","Utilities [22]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057721","7.5.1.1","61.2","","","","1"
"2024-10","Ontario","2021A000235","Utilities [22]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057721","7.5.1.1","59.8","","","","1"
"2024-11","Ontario","2021A000235","Utilities [22]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057721","7.5.1.1","58.2","","","","1"
"2024-12","Ontario","2021A000235","Utilities [22]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057721","7.5.1.1","62.0","","","","1"
"2025-01","Ontario","2021A000235","Utilities [22]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057721","7.5.1.1","64.0","","","","1"
"2024-08","Ontario","2021A000235","Utilities [22]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057930","7.5.1.2","63.2","","","","1"
"2024-09","Ontario","2021A000235","Utilities [22]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057930","7.5.1.2","62.3","","","","1"
"2024-10","Ontario","2021A000235","Utilities [22]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057930","7.5.1.2","59.8","","","","1"
"2024-11","Ontario","2021A000235","Utilities [22]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057930","7.5.1.2","57.6","","","","1"
"2024-12","Ontario","2021A000235","Utilities [22]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057930","7.5.1.2","61.6","","","","1"
"2025-01","Ontario","2021A000235","Utilities [22]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057930","7.5.1.2","62.8","","","","1"
"2024-08","Ontario","2021A000235","Construction [23]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057722","7.6.1.1","570.8","","","","1"
"2024-09","Ontario","2021A000235","Construction [23]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057722","7.6.1.1","573.7","","","","1"
"2024-10","Ontario","2021A000235","Construction [23]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057722","7.6.1.1","577.3","","","","1"
"2024-11","Ontario","2021A000235","Construction [23]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057722","7.6.1.1","573.2","","","","1"
"2024-12","Ontario","2021A000235","Construction [23]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057722","7.6.1.1","578.2","","","","1"
"2025-01","Ontario","2021A000235","Construction [23]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057722","7.6.1.1","583.5","","","","1"
"2024-08","Ontario","2021A000235","Construction [23]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057931","7.6.1.2","594.2","","","","1"
"2024-09","Ontario","2021A000235","Construction [23]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057931","7.6.1.2","583.6","","","","1"
"2024-10","Ontario","2021A000235","Construction [23]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057931","7.6.1.2","585.7","","","","1"
"2024-11","Ontario","2021A000235","Construction [23]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057931","7.6.1.2","577.8","","","","1"
"2024-12","Ontario","2021A000235","Construction [23]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057931","7.6.1.2","567.3","","","","1"
"2025-01","Ontario","2021A000235","Construction [23]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057931","7.6.1.2","553.2","","","","1"
"2024-08","Ontario","2021A000235","Manufacturing [31-33]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057723","7.7.1.1","831.6","","","","1"
"2024-09","Ontario","2021A000235","Manufacturing [31-33]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057723","7.7.1.1","824.8","","","","1"
"2024-10","Ontario","2021A000235","Manufacturing [31-33]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057723","7.7.1.1","818.1","","","","1"
"2024-11","Ontario","2021A000235","Manufacturing [31-33]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057723","7.7.1.1","799.2","","","","1"
"2024-12","Ontario","2021A000235","Manufacturing [31-33]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057723","7.7.1.1","817.8","","","","1"
"2025-01","Ontario","2021A000235","Manufacturing [31-33]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057723","7.7.1.1","828.8","","","","1"
"2024-08","Ontario","2021A000235","Manufacturing [31-33]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057932","7.7.1.2","850.1","","","","1"
"2024-09","Ontario","2021A000235","Manufacturing [31-33]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057932","7.7.1.2","821.1","","","","1"
"2024-10","Ontario","2021A000235","Manufacturing [31-33]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057932","7.7.1.2","815.1","","","","1"
"2024-11","Ontario","2021A000235","Manufacturing [31-33]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057932","7.7.1.2","802.4","","","","1"
"2024-12","Ontario","2021A000235","Manufacturing [31-33]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057932","7.7.1.2","806.7","","","","1"
"2025-01","Ontario","2021A000235","Manufacturing [31-33]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057932","7.7.1.2","815.3","","","","1"
"2024-08","Ontario","2021A000235","Services-producing sector","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057724","7.8.1.1","6584.7","","","","1"
"2024-09","Ontario","2021A000235","Services-producing sector","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057724","7.8.1.1","6623.3","","","","1"
"2024-10","Ontario","2021A000235","Services-producing sector","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057724","7.8.1.1","6606.1","","","","1"
"2024-11","Ontario","2021A000235","Services-producing sector","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057724","7.8.1.1","6622.1","","","","1"
"2024-12","Ontario","2021A000235","Services-producing sector","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057724","7.8.1.1","6627.2","","","","1"
"2025-01","Ontario","2021A000235","Services-producing sector","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057724","7.8.1.1","6643.7","","","","1"
"2024-08","Ontario","2021A000235","Services-producing sector","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057933","7.8.1.2","6578.6","","","","1"
"2024-09","Ontario","2021A000235","Services-producing sector","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057933","7.8.1.2","6614.7","","","","1"
"2024-10","Ontario","2021A000235","Services-producing sector","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057933","7.8.1.2","6602.6","","","","1"
"2024-11","Ontario","2021A000235","Services-producing sector","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057933","7.8.1.2","6617.0","","","","1"
"2024-12","Ontario","2021A000235","Services-producing sector","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057933","7.8.1.2","6622.5","","","","1"
"2025-01","Ontario","2021A000235","Services-producing sector","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057933","7.8.1.2","6593.9","","","","1"
"2024-08","Ontario","2021A000235","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057725","7.9.1.1","1114.9","","","","1"
"2024-09","Ontario","2021A000235","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057725","7.9.1.1","1124.6","","","","1"
"2024-10","Ontario","2021A000235","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057725","7.9.1.1","1129.6","","","","1"
"2024-11","Ontario","2021A000235","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057725","7.9.1.1","1137.0","","","","1"
