"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-11","Ontario","2021A000235","Population","Total - Gender","15 to 24 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066049","7.1.1.2.1.2","2082.4","","","","1"
"2024-12","Ontario","2021A000235","Population","Total - Gender","15 to 24 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066049","7.1.1.2.1.2","2085.0","","","","1"
"2025-01","Ontario","2021A000235","Population","Total - Gender","15 to 24 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066049","7.1.1.2.1.2","2086.4","","","","1"
"2024-08","Ontario","2021A000235","Population","Total - Gender","15 to 19 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066076","7.1.1.3.1.2","909.7","","","","1"
"2024-09","Ontario","2021A000235","Population","Total - Gender","15 to 19 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066076","7.1.1.3.1.2","910.8","","","","1"
"2024-10","Ontario","2021A000235","Population","Total - Gender","15 to 19 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066076","7.1.1.3.1.2","911.9","","","","1"
"2024-11","Ontario","2021A000235","Population","Total - Gender","15 to 19 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066076","7.1.1.3.1.2","912.6","","","","1"
"2024-12","Ontario","2021A000235","Population","Total - Gender","15 to 19 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066076","7.1.1.3.1.2","913.2","","","","1"
"2025-01","Ontario","2021A000235","Population","Total - Gender","15 to 19 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066076","7.1.1.3.1.2","913.5","","","","1"
"2024-08","Ontario","2021A000235","Population","Total - Gender","20 to 24 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066103","7.1.1.4.1.2","1158.7","","","","1"
