"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-01","Ontario","2021A000235","Labour force","Total - Gender","15 to 64 years","Standard error of year-over-year change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887585","7.2.1.8.4.1","39.2","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Total - Gender","15 to 19 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066077","7.2.1.3.1.2","363.1","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Total - Gender","20 to 24 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066104","7.2.1.4.1.2","823.7","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Total - Gender","25 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064052","7.2.1.5.1.1","7646.6","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Total - Gender","25 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066131","7.2.1.5.1.2","7631.0","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Total - Gender","25 years and over","Standard error of estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887589","7.2.1.5.2.1","26.6","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Total - Gender","25 years and over","Standard error of month-to-month change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887590","7.2.1.5.3.1","17.3","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Total - Gender","25 years and over","Standard error of year-over-year change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887591","7.2.1.5.4.1","32.7","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063953","7.2.2.1.1.1","4733.9","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Men+","15 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066032","7.2.2.1.1.2","4671.7","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Men+","15 years and over","Standard error of estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887598","7.2.2.1.2.1","20.7","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Men+","15 years and over","Standard error of month-to-month change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887599","7.2.2.1.3.1","14.7","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Men+","15 years and over","Standard error of year-over-year change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887600","7.2.2.1.4.1","26.3","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Men+","15 to 64 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v21581329","7.2.2.8.1.1","4477.3","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Men+","15 to 64 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v21581330","7.2.2.8.1.2","4409.8","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Men+","15 to 64 years","Standard error of estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887601","7.2.2.8.2.1","19.5","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Men+","15 to 64 years","Standard error of month-to-month change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887602","7.2.2.8.3.1","15.1","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Men+","15 to 64 years","Standard error of year-over-year change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887603","7.2.2.8.4.1","25.6","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Men+","15 to 19 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066086","7.2.2.3.1.2","174.4","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Men+","20 to 24 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066113","7.2.2.4.1.2","446.9","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Men+","25 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064061","7.2.2.5.1.1","4070.8","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Men+","25 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066140","7.2.2.5.1.2","4050.4","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Men+","25 years and over","Standard error of estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887607","7.2.2.5.2.1","16.5","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Men+","25 years and over","Standard error of month-to-month change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887608","7.2.2.5.3.1","11.3","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Men+","25 years and over","Standard error of year-over-year change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887609","7.2.2.5.4.1","21.2","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Women+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063962","7.2.3.1.1.1","4181.3","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Women+","15 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066041","7.2.3.1.1.2","4146.0","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Women+","15 years and over","Standard error of estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887616","7.2.3.1.2.1","23.4","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Women+","15 years and over","Standard error of month-to-month change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887617","7.2.3.1.3.1","15.1","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Women+","15 years and over","Standard error of year-over-year change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887618","7.2.3.1.4.1","29.4","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Women+","15 to 64 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v21581331","7.2.3.8.1.1","3991.7","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Women+","15 to 64 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v21581332","7.2.3.8.1.2","3958.3","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Women+","15 to 64 years","Standard error of estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887619","7.2.3.8.2.1","21.9","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Women+","15 to 64 years","Standard error of month-to-month change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887620","7.2.3.8.3.1","15.6","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Women+","15 to 64 years","Standard error of year-over-year change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887621","7.2.3.8.4.1","28.8","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Women+","15 to 19 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066095","7.2.3.3.1.2","188.7","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Women+","20 to 24 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066122","7.2.3.4.1.2","376.7","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Women+","25 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064070","7.2.3.5.1.1","3575.8","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Women+","25 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066149","7.2.3.5.1.2","3580.6","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Women+","25 years and over","Standard error of estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887625","7.2.3.5.2.1","18.9","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Women+","25 years and over","Standard error of month-to-month change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887626","7.2.3.5.3.1","12.0","","","","1"
"2025-01","Ontario","2021A000235","Labour force","Women+","25 years and over","Standard error of year-over-year change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887627","7.2.3.5.4.1","23.9","","","","1"
"2025-01","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","8240.4","","","","1"
"2025-01","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066024","7.3.1.1.1.2","8138.7","","","","1"
"2025-01","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Standard error of estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887634","7.3.1.1.2.1","35.7","","","","1"
"2025-01","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Standard error of month-to-month change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887635","7.3.1.1.3.1","21.1","","","","1"
"2025-01","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Standard error of year-over-year change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887636","7.3.1.1.4.1","42.3","","","","1"
"2025-01","Ontario","2021A000235","Employment","Total - Gender","15 to 64 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v21581333","7.3.1.8.1.1","7796.0","","","","1"
"2025-01","Ontario","2021A000235","Employment","Total - Gender","15 to 64 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v21581334","7.3.1.8.1.2","7705.5","","","","1"
"2025-01","Ontario","2021A000235","Employment","Total - Gender","15 to 64 years","Standard error of estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887637","7.3.1.8.2.1","33.6","","","","1"
"2025-01","Ontario","2021A000235","Employment","Total - Gender","15 to 64 years","Standard error of month-to-month change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887638","7.3.1.8.3.1","21.9","","","","1"
"2025-01","Ontario","2021A000235","Employment","Total - Gender","15 to 64 years","Standard error of year-over-year change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887639","7.3.1.8.4.1","41.9","","","","1"
"2025-01","Ontario","2021A000235","Employment","Total - Gender","15 to 19 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066078","7.3.1.3.1.2","279.3","","","","1"
"2025-01","Ontario","2021A000235","Employment","Total - Gender","20 to 24 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066105","7.3.1.4.1.2","703.4","","","","1"
"2025-01","Ontario","2021A000235","Employment","Total - Gender","25 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064053","7.3.1.5.1.1","7189.0","","","","1"
"2025-01","Ontario","2021A000235","Employment","Total - Gender","25 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066132","7.3.1.5.1.2","7155.9","","","","1"
"2025-01","Ontario","2021A000235","Employment","Total - Gender","25 years and over","Standard error of estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887643","7.3.1.5.2.1","28.9","","","","1"
"2025-01","Ontario","2021A000235","Employment","Total - Gender","25 years and over","Standard error of month-to-month change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887644","7.3.1.5.3.1","17.3","","","","1"
"2025-01","Ontario","2021A000235","Employment","Total - Gender","25 years and over","Standard error of year-over-year change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887645","7.3.1.5.4.1","34.1","","","","1"
"2025-01","Ontario","2021A000235","Employment","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063954","7.3.2.1.1.1","4370.8","","","","1"
"2025-01","Ontario","2021A000235","Employment","Men+","15 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066033","7.3.2.1.1.2","4284.0","","","","1"
"2025-01","Ontario","2021A000235","Employment","Men+","15 years and over","Standard error of estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887652","7.3.2.1.2.1","22.6","","","","1"
